rank	word	count	level	source	flags
332	เครื่อง	8936661	pre-a1	phupha-wordfreq	pythainlp
333	อุ	8911387	pre-a1	phupha-wordfreq	pythainlp|short-token-review
334	พี	8896334	pre-a1	phupha-wordfreq	pythainlp|short-token-review
335	ถา	8894204	pre-a1	phupha-wordfreq	pythainlp|short-token-review
336	เสีย	8840902	pre-a1	phupha-wordfreq	pythainlp
337	ทศ	8839467	pre-a1	phupha-wordfreq	pythainlp|short-token-review
338	ลัก	8834873	pre-a1	phupha-wordfreq	pythainlp
339	เดิม	8772891	pre-a1	phupha-wordfreq	pythainlp
340	ท่าน	8772190	pre-a1	phupha-wordfreq	pythainlp
341	ดับ	8704225	pre-a1	phupha-wordfreq	pythainlp
342	คือ	8695217	pre-a1	phupha-wordfreq	pythainlp
343	เทศ	8664616	pre-a1	phupha-wordfreq	pythainlp
344	ส่ง	8632766	pre-a1	phupha-wordfreq	pythainlp
345	หาร	8544576	pre-a1	phupha-wordfreq	pythainlp
346	ได้รับ	8455462	pre-a1	phupha-wordfreq	pythainlp
347	งด	8348848	pre-a1	phupha-wordfreq	pythainlp|short-token-review
348	กิจ	8315385	pre-a1	phupha-wordfreq	pythainlp
349	มัค	8314939	pre-a1	phupha-wordfreq	pythainlp
350	นคร	8309147	pre-a1	phupha-wordfreq	pythainlp
351	จอ	8272739	pre-a1	phupha-wordfreq	pythainlp|short-token-review
352	จริง	8266770	pre-a1	phupha-wordfreq	pythainlp
353	ถู	8208350	pre-a1	phupha-wordfreq	pythainlp|short-token-review
354	เมื่อ	8207779	pre-a1	phupha-wordfreq	pythainlp
355	ปก	8200226	pre-a1	phupha-wordfreq	pythainlp|short-token-review
356	จก	8195653	pre-a1	phupha-wordfreq	pythainlp|short-token-review
357	สมัคร	8185102	pre-a1	phupha-wordfreq	pythainlp
358	ยล	8164648	pre-a1	phupha-wordfreq	pythainlp|short-token-review
359	มหา	8161414	pre-a1	phupha-wordfreq	pythainlp
360	โค	8152150	pre-a1	phupha-wordfreq	pythainlp|short-token-review
